"Fecha y Hora","km totales","kWh facturados","Precio Total (€)","Eficiencia (kWh/100)","Tipo de cargador","Precio kW","Porcentaje final de carga"
"2025-08-21 08:14","2744","13.66","1.34","0.00","csv_1768489014325_4","0.115","74.33"
"2025-08-20 17:57","2744","9.86","0.96","35.21","csv_1768489014325_4","0.115","64.43"
"2025-08-20 10:36","2716","37.53","4.20","341.18","csv_1768489014325_2","0.118","62.12"
"2025-08-20 09:29","2705","13.69","1.34","6.03","csv_1768489014325_4","0.115","34.90"
"2025-08-15 11:03","2478","13.68","1.34","23.19","csv_1768489014325_4","0.115","66.08"
"2025-08-14 11:16","2419","22.94","0.00","764.67","csv_1768489014325_2","0.0","66.74"
"2025-08-14 10:37","2416","5.11","0.00","3.52","csv_1768489014325_1","0.0","46.20"
"2025-08-11 14:28","2271","20.85","3.76","173.75","csv_1768489014325_2","0.19","66.41"
"2025-08-11 11:09","2259","25.85","0.00","13.82","csv_1768489014325_2","0.0","51.32"
"2025-08-08 15:02","2072","15.15","0.00","20.20","csv_1768489014325_2","0.0","66.50"
"2025-08-07 14:34","1997","23.64","0.00","84.43","csv_1768489014325_2","0.0","66.08"
"2025-08-07 09:42","1969","18.88","1.85","26.22","csv_1768489014325_4","0.115","51.89"
"2025-08-04 14:08","1897","17.88","0.00","7.27","csv_1768489014325_2","0.0","54.04"
"2025-07-28 14:47","1651","17.83","3.15","148.58","csv_1768489014325_1","0.19","82.50"
"2025-07-28 11:25","1639","22.10","0.00","736.67","csv_1768489014325_2","0.0","70.29"
"2025-07-28 11:01","1636","11.19","0.00","53.29","csv_1768489014325_1","0.0","51.56"
"2025-07-27 19:45","1615","27.48","2.69","17.73","csv_1768489014325_4","0.115","43.48"
"2025-07-26 23:35","1460","13.40","1.31","8.48","csv_1768489014325_4","0.115","52.22"
"2025-07-24 10:44","1302","24.74","0.00","35.34","csv_1768489014325_2","0.0","70.29"
"2025-07-20 13:09","1232","11.53","1.13","15.58","csv_1768489014325_4","0.115","60.72"
"2025-07-19 09:23","1158","11.55","1.13","18.33","csv_1768489014325_4","0.115","64.85"
"2025-07-18 10:41","1095","31.77","2.81","144.41","csv_1768489014325_2","0.093","66.41"
"2025-07-18 08:21","1073","14.00","1.37","26.92","csv_1768489014325_4","0.115","41.50"
"2025-07-14 13:21","1021","17.98","3.18","119.87","csv_1768489014325_1","0.19","40.84"
"2025-07-14 11:26","1006","4.44","0.00","2.31","csv_1768489014325_1","0.0","29.37"
"2025-07-12 16:36","814","9.95","2.31","5.38","csv_1768489014325_1","0.25","50.82"
"2025-07-10 11:28","629","15.06","2.66","1506.00","csv_1768489014325_1","0.19","74.17"
"2025-07-10 11:18","628","28.24","16.63","18.95","csv_1768489014325_2","0.62","65.00"
"2025-07-09 17:29","479","6.28","0.36","0.00","csv_1768489014325_1","0.062","0.00"
"2025-07-09 17:27","499","27.79","1.03","10.29","csv_1768489014325_1","0.04","65.75"
"2025-07-09 17:24","229","42.00","7.42","20.49","csv_1768489014325_1","0.19","81.76"
"2025-07-01 14:50","24","0.11","0.00","0.00","csv_1768489014325_1","0.0","100.00"
