"Fecha y Hora","km totales","kWh facturados","Precio Total (€)","Eficiencia (kWh/100)","Tipo de cargador","Precio kW","Porcentaje final de carga"
"2025-07-10 11:28","629","15.06","2.66","483.00","Carga lenta","0.19","74.17"
"2025-07-10 11:18","628","28.24","16.63","21.37","Carga Rápida","0.62","65.0"
"2025-07-09 17:27","499","27.79","1.03","17.66","Carga lenta","0.04","65.75"
"2025-07-09 17:29","479","6.28","0.36","0.00","Carga lenta","0.062","0.0"
"2025-07-09 17:24","229","42.00","7.42","19.41","Carga lenta","0.19","81.76"
"2025-07-01 14:50","24","0.11","0.00","","Carga lenta","0.0","100.00"
"NameBrand","Latitude","Longitude","Description","CountryCode","","",""
"GALP","43.29181","-8.21036","Betanzos, Betanzos Vello","ESP","","",""
"EASYGAS","43.34431","-8.42594","A Coruña, Camiño Martinete","ESP","","",""
"CARBUGAL","43.34039","-8.40883","A Coruña, Rúa Manuel Guzmán","ESP","","",""
"AUTONET","43.35444","-8.41731","AUTONET","ESP","","",""
"PETROPRIX","43.35097","-8.42689","A Coruña, Rúa Severo Ochoa","ESP","","",""
"CC","43.38669","-8.16794","CC","ESP","","",""
"PetroCash","43.31347","-8.26694","Bergondo, Calle P. Lubre","ESP","","",""
"PETROCASH SADA","43.34727","-8.24913","PETROCASH SADA","ESP","","",""
"IdCategory","Name","","","","","",""
"1","Private","","","","","",""
"2","Work","","","","","",""
